title,terr,dist,P&A Currency,Tht. Release Status,Box Office Release Date,Weeks in Release,Cume Box Office,Cume Admissions,Opening Wkend Box Office,OW Admissions,OW Screens,OW Rank,Current Wkend Box Office,CW Admissions,CW Screens,CW Rank,Wkend 2 Box Office,Wkend 2 Admissions,Wkend 2 Screens,Wkend 2 Rank,Wkend 3 Box Office,Wkend 3 Admissions,Wkend 3 Screens,Wkend 3 Rank,Wkend 4 Box Office,Wkend 4 Admissions,Wkend 4 Screens,Wkend 4 Rank,Wkend 5 Box Office,Wkend 5 Admissions,Wkend 5 Screens,Wkend 5 Rank,Wkend 6 Box Office,Wkend 6 Admissions,Wkend 6 Screens,Wkend 6 Rank,Wkend 7 Box Office,Wkend 7 Admissions,Wkend 7 Screens,Wkend 7 Rank,Wkend 8 Box Office,Wkend 8 Admissions,Wkend 8 Screens,Wkend 8 Rank,Wkend 9 Box Office,Wkend 9 Admissions,Wkend 9 Screens,Wkend 9 Rank,Wkend 10 Box Office,Wkend 10 Admissions,Wkend 10 Screens,Wkend 10 Rank
A Private War,Slovakia,AQS,EUD,N/A,STTV,,0.00,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Private War,Slovenia,Blitz,EUD,N/A,STV,,0.00,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Private War,South Africa,CDC,ZAR,N/A,STV,,0.00,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Private War,South Korea,Joy N Contents Group,KRW,Undated,TBD,,0.00,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Private War,Spain,Dea Planeta,EUD,Complete,31-May-19,9,"136,493.00","27,059.00",32102,4745,28,14,0,,,,24449,3575,34,16,11576,1748,30,9,4352,666,14,,2562,369,8,,1412,254,7,,666,143,4,,206,86,2,,239,77,4,,0,,,
A Private War,Sweden,Nordisk,SEK,N/A,STV,,0.00,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Private War,French-Speaking Switzerland,Ascot Elite,CHF,N/A,STV,,0.00,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Private War,German-Speaking Switzerland,Ascot Elite,CHF,N/A,STV,,0.00,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Private War,Italian-Speaking Switzerland,Ascot Elite,CHF,N/A,STV,,0.00,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Private War,Taiwan,Cai Chang,TWD,Complete,4-Jan-19,5,"3,241,456.00","14,454.00",1524630.93,6768,47,8,0,,,,488260,2138,36,,79145,343,12,,18995.07,77,3,,3560,15,3,,0,,,,0,,,,0,,,,0,,,,0,,,
A Private War,Turkey,Bir,TRY,N/A,STV,,0.00,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Private War,Ukraine,Russia World Vision,UAH,Complete,11-Apr-19,3,"197,233.00","2,038.00",138455,1351,22,,0,,,,10285,109,6,,2850,35,2,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Private War,United Arab Emirates,Selim,AED,Complete,8-Nov-18,4,"443,572.00","10,530.00",216719.01,5233,35,,0,,,,76681.47,1829,6,,9483.98,216,2,,5316.99,118,1,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Private War,United Kingdom,Aviron,GPB,Complete,15-Feb-19,7,"535,570.00",,223438,,74,14,0,,,,54638,,90,26,23084,,48,35,8739,,15,46,12188,,24,46,6620,,12,55,1981,,6,70,0,,,,0,,,,0,,,
A Private War,United States,Aviron,USD,Complete,2-Nov-18,12,"1,633,208.00",,60491,,4,38,0,,,,196585,,38,28,701589,,865,16,133224,,226,28,48769,,66,41,24006,,35,,15056,,50,,2837,,6,,2366,,4,,4860,,6,
A Private War,Uruguay,CDC,UYU,N/A,STV,,0.00,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Private War,Venezuela,CDC,VEF,N/A,STV,,0.00,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Walk Among The Tombstones,Argentina,CDC,ARS,Complete,13-Nov-14,31,"9,876,768.00","206,449.00",2205073.04,47212,126,3,0,,,,1557251.98,32786,95,3,989320,20277,62,5,636777.99,12824,46,7,364571.98,7338,36,8,274245,5266,38,11,352004,6772,30,12,154170,2869,24,13,126666.04,2358,21,15,133050.99,2410,20,15
A Walk Among The Tombstones,Australia,Roadshow,AUS,Complete,16-Oct-14,6,"2,682,733.00",,1125205,,238,2,0,,,,535885,,238,5,237616,,195,8,43017,,59,22,14107,,26,33,2363,,6,51,0,,,,0,,,,0,,,,0,,,
A Walk Among The Tombstones,Austria,SquareOne,EUD,Complete,13-Nov-14,5,"419,772.00","50,822.00",120988,13890,47,3,0,,,,71907,8373,47,5,41449,4739,47,6,48355,5507,40,9,17714,1990,34,10,0,,,,0,,,,0,,,,0,,,,0,,,
A Walk Among The Tombstones,Bahrain,Front Row,BHD,Undated,TBD,,0.00,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Walk Among The Tombstones,Belgium,A-Film,EUD,Complete,22-Oct-14,8,"319,308.00",,84855,,30,8,0,,,,74207,,32,14,38690,,24,14,24424,,20,21,14145,,13,21,9927,,12,23,5971,,7,29,644,,1,41,0,,,,0,,,
A Walk Among The Tombstones,Bolivia,CDC,BOB,Complete,27-Nov-14,4,"312,452.00","7,843.00",102181.02,2451,11,7,0,,,,78169.03,1695,10,9,28891.01,470,4,12,60.04,2,1,24,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Walk Among The Tombstones,Brazil,CDC,BRL,Complete,4-Dec-14,17,"4,314,816.00","366,972.00",1930884,144359,319,4,0,,,,801366.01,59808,284,6,162325.01,12226,93,11,17278.99,1283,13,24,6249.01,697,11,32,9036,920,12,27,8007.01,758,12,35,6424.01,719,7,41,4730.99,472,6,,2025.01,176,4,
A Walk Among The Tombstones,Bulgaria,A-Company,BGN,Complete,24-Oct-14,4,"125,049.00",,40504,5055,,3,0,,,,20595,,25,5,10619,,16,8,5972.01,,14,10,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Walk Among The Tombstones,Canada,eOne - Canada,CAD,Complete,19-Sep-14,,0.00,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Walk Among The Tombstones,Chile,CDC,CLP,Complete,13-Nov-14,19,"193,667,180.00","69,581.00",58661595.24,20231,59,3,0,,,,35950761.9,12504,54,4,22301785.71,7751,39,5,12956535.71,4224,15,9,6172333.33,1969,9,10,1013434.52,316,4,20,435595.24,146,2,,0,,,,0,,,,0,,,
A Walk Among The Tombstones,Colombia,CDC,COP,Complete,27-Nov-14,4,"847,228,900.00","118,480.00",465031500,58733,155,2,0,,,,93185695.65,10680,44,7,39154195.65,4472,20,11,915000,218,1,28,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
A Walk Among The Tombstones,Costa Rica,CDC,CRC,Complete,6-Nov-14,3,"36,329,190.00","12,649.00",20142802.2,6669,17,4,0,,,,8189401.1,2735,11,5,1399120.88,545,5,10,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
