"title,terr,dist,currency,ended,Box Office Release Date,Weeks in Release,cume_bo,cume_adm"
"Alien Abduction,Lebanon,Front Row,LBP,Undated,To Be Det'd,,0,0"
"Alien Abduction,Lithuania,A-Company,EUD,Undated,To Be Det'd,,0,0"
"Alien Abduction,Mexico,California Filmes,MXN,Undated,To Be Det'd,,0,0"
"Alien Abduction,Netherlands,Independent Films,EUD,Undated,To Be Det'd,,0,0"
"Alien Abduction,New Zealand,Pinnacle Films,NZD,Undated,To Be Det'd,,0,0"
"Alien Abduction,Nicaragua,California Filmes,NIH,Undated,To Be Det'd,,0,0"
"Alien Abduction,Oman,Front Row,OMR,Undated,To Be Det'd,,0,0"
"Alien Abduction,Panama,California Filmes,USD,Undated,To Be Det'd,,0,0"
"Alien Abduction,Paraguay,California Filmes,PYG,Undated,To Be Det'd,,0,0"
"Alien Abduction,Peru,California Filmes,PEN,Undated,To Be Det'd,,0,0"
"Alien Abduction,Philippines,Captive,PHP,Complete,41845,2,887263,0"
"Alien Abduction,Poland,A-Company,PLN,Undated,To Be Det'd,,0,0"
"Alien Abduction,Qatar,Front Row,QAR,Undated,To Be Det'd,,0,0"
"Alien Abduction,Romania,A-Company,RON,Undated,To Be Det'd,,0,0"
"Alien Abduction,Serbia,A-Company,RSD,Undated,To Be Det'd,,0,0"
"Alien Abduction,Singapore,Cathay,SGD,Complete,41760,2,61796,6545"
"Alien Abduction,Slovakia,A-Company,EUD,Undated,To Be Det'd,,0,0"
"Alien Abduction,Slovenia,A-Company,EUD,Undated,To Be Det'd,,0,0"
"Alien Abduction,South Africa,Nu Metro,ZAR,Undated,To Be Det'd,,0,0"
"Alien Abduction,South Korea,Dreamwest,KRW,Undated,To Be Det'd,,0,0"
"Alien Abduction,French-Speaking Switzerland,Impuls,CHF,Undated,To Be Det'd,,0,0"
"Alien Abduction,German-Speaking Switzerland,Impuls,CHF,Undated,To Be Det'd,,0,0"
"Alien Abduction,Italian-Speaking Switzerland,Impuls,CHF,Undated,To Be Det'd,,0,0"
"Alien Abduction,Taiwan,Lots Home,TWD,Complete,41803,2,534510,2409"
"Alien Abduction,Thailand,Noori,THB,Undated,To Be Det'd,,0,0"
"Alien Abduction,United Arab Emirates,Front Row,AED,Complete,41795,1,75076.02,0"
"Alien Abduction,United Kingdom,Signature,GPB,N/A,STV,,0,0"
"Alien Abduction,United States,IFC,USD,Complete,41733,1,10514,0"
"Alien Abduction,Uruguay,California Filmes,UYU,Undated,To Be Det'd,,0,0"
"Alien Abduction,Venezuela,California Filmes,VEF,Undated,To Be Det'd,,0,0"
"Amazing Grace,Australia,StudioCanal,AUS,Complete,43706,15,904392,0"
"Amazing Grace,Austria,Weltkino,EUD,Complete,43798,10,105416,13168"
"Amazing Grace,Bahrain,Selim,BHD,Undated,TBD,,0,0"
"Amazing Grace,Belgium,Paradiso,EUD,Complete,43761,5,32872,4569"
"Amazing Grace,Bulgaria,SPI,BGN,N/A,STV,,0,0"
"Amazing Grace,Canada,Elevation,CAD,Undated,TBD,,0,0"
"Amazing Grace,Croatia,SPI,HRK,N/A,STV,,0,0"
"Amazing Grace,Czech Republic,SPI,CZK,N/A,STV,,0,0"
"Amazing Grace,Denmark,Nonstop,DKK,Complete,43846,8,2072928,25154"
"Amazing Grace,Egypt,Selim,EGP,Undated,TBD,,0,0"
"Amazing Grace,Estonia,Nonstop,USD,N/A,STV,,0,0"
"Amazing Grace,Finland,Nonstop,EUD,Complete,43742,16,110993,10608"
"Amazing Grace,France,Metropolitan,EUD,Complete,43621,19,231537,34870"
"Amazing Grace,Germany,Weltkino,EUD,Complete,43797,15,469560,60199"
"Amazing Grace,Greece,Seven Films,EUD,Undated,TBD,,0,0"
"Amazing Grace,Hong Kong,Edko,HKD,Undated,TBD,,0,0"
"Amazing Grace,Hungary,SPI,HUF,Complete,43769,4,1587765,1239"
"Amazing Grace,Iceland,Nonstop,ISK,N/A,STV,,0,0"
"Amazing Grace,Indonesia,CP Films,IDR,Complete,43756,2,28105000,553"
"Amazing Grace,Iraq,Selim,IQD,Undated,TBD,,0,0"
"Amazing Grace,Israel,United King,ILS,Complete,43622,12,287641.02,10209"
"Amazing Grace,Italy,Adler,EUD,Upcoming,44361,,0,0"
"Amazing Grace,Japan,Gaga,YEN,In Release,44344,1,3485000,2431"
"Amazing Grace,Jordan,Selim,JOD,Undated,TBD,,0,0"
"Amazing Grace,Kuwait,Selim,KWD,Undated,TBD,,0,0"
"Amazing Grace,Latvia,Nonstop,EUD,N/A,STV,,0,0"
"Amazing Grace,Lebanon,Selim,LBP,Undated,TBD,,0,0"
"Amazing Grace,Lithuania,Nonstop,EUD,N/A,STV,,0,0"
"Amazing Grace,Malaysia,One World,MYR,N/A,STV,,0,0"
"Amazing Grace,Netherlands,Paradiso,EUD,Complete,43769,19,665677,76458"
"Amazing Grace,New Zealand,StudioCanal,NZD,Complete,43713,12,361239,0"
"Amazing Grace,Norway,Nonstop,NOK,Complete,43693,14,5237122.5,42661"
"Amazing Grace,Oman,Selim,OMR,Undated,TBD,,0,0"
"Amazing Grace,Poland,SPI,PLN,Complete,43784,17,184725.17,10915"
"Amazing Grace,Portugal,Alambique,EUD,Complete,43720,4,17519,3260"
"Amazing Grace,Qatar,Selim,QAR,Undated,TBD,,0,0"
"Amazing Grace,Romania,SPI,RON,N/A,STV,,0,0"
"Amazing Grace,Russia,Top Film,RUB,N/A,STV,,0,0"
"Amazing Grace,Serbia,SPI,RSD,N/A,STV,,0,0"
"Amazing Grace,Singapore,Shaw,SGD,Complete,43671,7,10706,1071"
"Amazing Grace,Slovakia,SPI,EUD,N/A,STV,,0,0"
"Amazing Grace,Slovenia,SPI,EUD,N/A,STV,,0,0"
"Amazing Grace,South Africa,Daro,ZAR,Undated,TBD,,0,0"
"Amazing Grace,South Korea,Jinjin Pictures,KRW,Complete,43797,6,42447700,5463"
"Amazing Grace,Spain,""YouPlanet Pictures, S.L."",EUD,Complete,43742,9,136709,22894"
"Amazing Grace,Sweden,Nonstop,SEK,Complete,43700,20,4408154.75,40761"
"Amazing Grace,French-Speaking Switzerland,Weltkino,CHF,Complete,43818,11,76539,5077"
"Amazing Grace,German-Speaking Switzerland,Weltkino,CHF,Undated,TBD,,0,0"
"Amazing Grace,Italian-Speaking Switzerland,Weltkino,CHF,Undated,TBD,,0,0"
"Amazing Grace,Taiwan,Movie Cloud,TWD,Undated,TBD,,0,0"
"Amazing Grace,Turkey,SPI,TRY,N/A,STV,,0,0"
"Amazing Grace,Ukraine,Top Film,UAH,N/A,STV,,0,0"
"Amazing Grace,United Arab Emirates,Selim,AED,Undated,TBD,,0,0"
"Amazing Grace,United Kingdom,StudioCanal,GPB,Complete,43595,18,756175,0"
"Amazing Grace,United States,Neon Rated,USD,Complete,43560,16,4450456,0"
"Amazing Grace,Vietnam,One World,VND,N/A,STV,,0,0"
"American Woman,Argentina,Sony,ARS,Direct to Video,STV,,0,0"
"American Woman,Australia,Sony,AUS,Direct to Video,STV,,0,0"
"American Woman,Austria,Sony,EUD,Direct to Video,STV,,0,0"
"American Woman,Bahrain,Sony,BHD,Direct to Video,STV,,0,0"
"American Woman,Belgium,Sony,EUD,Direct to Video,STV,,0,0"
"American Woman,Bolivia,Sony,BOB,Direct to Video,STV,,0,0"
"American Woman,Brazil,Sony,BRL,Direct to Video,STV,,0,0"
"American Woman,Bulgaria,Sony,BGN,Direct to Video,STV,,0,0"
"American Woman,Cambodia,Sony,KHR,Direct to Video,STV,,0,0"
"American Woman,Canada,Sony,CAD,Direct to Video,STV,,0,0"
"American Woman,Chile,Sony,CLP,Direct to Video,STV,,0,0"
"American Woman,China,Sony,CNH,Direct to Video,STV,,0,0"
"American Woman,Colombia,Sony,COP,Direct to Video,STV,,0,0"
"American Woman,Croatia,Sony,HRK,Direct to Video,STV,,0,0"
"American Woman,Czech Republic,Sony,CZK,Direct to Video,STV,,0,0"
"American Woman,Denmark,Sony,DKK,Direct to Video,STV,,0,0"
"American Woman,Ecuador,Sony,USD,Direct to Video,STV,,0,0"
"American Woman,Egypt,Sony,EGP,Direct to Video,STV,,0,0"
"American Woman,Estonia,Sony,EUD,Direct to Video,STV,,0,0"
"American Woman,Finland,Sony,EUD,Direct to Video,STV,,0,0"
"American Woman,France,Sony,EUD,Direct to Video,STV,,0,0"
"American Woman,Germany,Sony,EUD,Direct to Video,STV,,0,0"
"American Woman,Greece,Sony,EUD,Direct to Video,STV,,0,0"
"American Woman,Hong Kong,Sony,HKD,Direct to Video,STV,,0,0"
"American Woman,Hungary,Sony,HUF,Direct to Video,STV,,0,0"
"American Woman,Iceland,Sony,ISK,Direct to Video,STV,,0,0"
"American Woman,India,Sony,INR,Direct to Video,STV,,0,0"
"American Woman,Indonesia,Sony,IDR,Direct to Video,STV,,0,0"
"American Woman,Iraq,Sony,IQD,Direct to Video,STV,,0,0"
"American Woman,Israel,Sony,ILS,Direct to Video,STV,,0,0"
"American Woman,Italy,Blue Swan,EUD,N/A,STV,,0,0"
"American Woman,Japan,Sony,YEN,Direct to Video,STV,,0,0"
